"banding_year","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","NA","total"
"2001",11,14,5,1,1,1,0,0,0,0,1,1,0,99,134
"2002",11,22,12,9,7,2,2,1,1,0,0,1,0,201,269
"2003",0,9,15,18,6,3,2,1,0,2,2,1,1,286,346
"2006",0,0,0,0,1,5,3,9,2,1,1,0,0,93,115
"2007",0,0,0,0,0,36,26,31,14,9,10,7,2,438,573
"2008",0,0,0,0,0,0,1,12,5,1,3,3,1,110,136
"2009",0,0,0,0,0,0,0,0,4,4,2,0,2,50,62
"2010",0,0,0,0,0,0,0,0,2,3,6,2,0,59,72
"2011",0,0,0,0,0,0,0,0,0,5,8,7,8,193,221
"2012",0,0,0,0,0,0,0,0,0,0,8,7,8,213,236
"2013",0,0,0,0,0,0,0,0,0,0,0,7,16,279,302
"2014",0,0,0,0,0,0,0,0,0,0,0,0,3,133,136
"total",22,45,32,28,15,47,34,54,28,25,41,36,41,2154,2602
